code,url,file,library,deleted,lastSeen,brand,model,package,type,describe,erpComponentName,price,stock,MOQ
C10002,TexasInstruments-LM2596SX_5_0NOPB/C10002,,expand,0,2026-04-17 05:39:09,Texas Instruments,LM2596SX-5.0/NOPB,TO-263-5,DC-DC Converters,-40℃~+125℃@(TJ) 1 150kHz 3A 4.5V~40V 5V Buck Buck Built-in Fixed No TO-263-5 DC-DC Converters ROHS,降压型 3A 4.5V~40V,1.2509,19259,1
C1002,Sunlord-GZ1608D601TF/C1002,,base,0,2026-04-17 05:39:09,Sunlord,GZ1608D601TF,0603,Ferrite Beads,-55℃~+125℃ 1 200mA 450mΩ 600Ω@100MHz ±25% 0603 Ferrite Beads ROHS,单路 0603磁珠 阻抗600Ω@100MHz,0.0148,1028744,1
C1015,Sunlord-GZ2012D101TF/C1015,,base,0,2026-04-17 05:39:09,Sunlord,GZ2012D101TF,0805,Ferrite Beads,1 100Ω@100MHz 150mΩ 800mA ±25% 0805 Ferrite Beads ROHS,单路 0805磁珠 阻抗100Ω@100MHz,0.0282,139616,1
C1017,Sunlord-GZ2012D601TF/C1017,,base,0,2026-04-17 05:39:09,Sunlord,GZ2012D601TF,0805,Ferrite Beads,-55℃~+125℃ 1 300mΩ 500mA 600Ω@100MHz ±25% 0805 Ferrite Beads ROHS,单路 0805磁珠 阻抗600Ω@100MHz,0.0274,354865,1
C1034,Sunlord-SDFL1608Q4R7KTF/C1034,,expand,0,2026-04-17 05:39:09,Sunlord,SDFL1608Q4R7KTF,0603,Inductors (SMD),15mA 2.1Ω 33MHz 35@10MHz 4.7uH ±10% 0603 Inductors (SMD) ROHS,4.7uH ±10%,0.0232,98490,1
C1035,Sunlord-SDFL1608S100KTF/C1035,,base,0,2026-04-17 05:39:09,Sunlord,SDFL1608S100KTF,0603,Inductors (SMD),1.85Ω 10uH 17MHz 30@2MHz 3mA ±10% 0603 Inductors (SMD) ROHS,10uH ±10%,0.0188,439332,1
C1042,Sunlord-SDFL2012Q1R0KTF/C1042,,expand,0,2026-04-17 05:39:09,Sunlord,SDFL2012Q1R0KTF,0805,Inductors (SMD),1uH 400mΩ 45@10MHz 50mA 75MHz Multilayer inductor ±10% 0805 Inductors (SMD) ROHS,1uH ±10%,0.0147,19012,533
C1043,1395-CMI201209U2R2KT/C1043,,expand,0,2026-04-17 05:39:09,FH (Guangdong Fenghua Advanced Tech),CMI201209U2R2KT,0805,Inductors (SMD),2.2uH 35@10MHz 50MHz 50mA 600mΩ ±10% 0805 Inductors (SMD) ROHS,2.2uH ±10%,0.0232,75740,1
C1046,Sunlord-SDFL2012S100KTF/C1046,,base,0,2026-04-17 05:39:09,Sunlord,SDFL2012S100KTF,0805,Inductors (SMD),1.15Ω 10uH 15mA 24MHz 50@2MHz Multilayer inductor ±10% 0805 Inductors (SMD) ROHS,10uH ±10%,0.0248,145798,1
C10487,VishayIntertech-SI2301CDS_T1GE3/C10487,,base,0,2026-04-17 05:39:09,Vishay Intertech,SI2301CDS-T1-GE3,SOT-23,MOSFETs,-55℃~+150℃ 1 P-Channel 1.6W 10nC@4.5V 142mΩ@2.5V 1V 20V 3.1A 405pF 55pF 75pF P-Channel SOT-23 MOSFETs ROHS,SI2301CDS-T1-GE3,0.065,373000,1
C1049,1401-CMI321609U4R7KT/C1049,,expand,0,2026-04-17 05:39:09,FH (Guangdong Fenghua Advanced Tech),CMI321609U4R7KT,1206,Inductors (SMD),25mA 35@10MHz 35MHz 4.7uH 650mΩ ±10% 1206 Inductors (SMD) ROHS,4.7uH ±10%,0.04,53215,1
C1051,1403-CMI321609X100KT/C1051,,expand,0,2026-04-17 05:39:09,FH (Guangdong Fenghua Advanced Tech),CMI321609X100KT,1206,Inductors (SMD),10uH 24MHz 25mA 35@2MHz 800mΩ ±10% 1206 Inductors (SMD) ROHS,10uH ±10%,0.0404,79787,1
C105432,106647-S8550_RANGE_120_200/C105432,,base,0,2026-04-17 05:39:09,"Jiangsu Changjing Electronics Technology Co., Ltd.",S8550(RANGE:120-200),SOT-23,Bipolar (BJT),-55℃~+150℃ 1 PNP 100nA 120 150MHz 25V 300mW 500mA 5V 600mV PNP SOT-23 Bipolar (BJT) ROHS,S8550(RANGE:120-200),0.0139,390405,1
C107045,YAGEO-CC0603JRNPO9BN270/C107045,,expand,0,2026-04-17 05:39:09,YAGEO,CC0603JRNPO9BN270,0603,Multilayer Ceramic Capacitors MLCC - SMD/SMT,27pF 50V NP0 ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,27pF ±5% 50V,0.0032,702592,1
C107110,YAGEO-CC0805JRNPO9BN150/C107110,,expand,0,2026-04-17 05:39:09,YAGEO,CC0805JRNPO9BN150,0805,Multilayer Ceramic Capacitors MLCC - SMD/SMT,15pF 50V NP0 ±5% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,15pF ±5% 50V,0.0067,41719,1
C107114,YAGEO-CC0805JRNPO9BN300/C107114,,expand,0,2026-04-17 05:39:09,YAGEO,CC0805JRNPO9BN300,0805,Multilayer Ceramic Capacitors MLCC - SMD/SMT,30pF 50V NP0 ±5% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,30pF ±5% 50V,0.0073,321838,1
C107115,YAGEO-CC0805JRNPO9BN330/C107115,,expand,0,2026-04-17 05:39:09,YAGEO,CC0805JRNPO9BN330,0805,Multilayer Ceramic Capacitors MLCC - SMD/SMT,33pF 50V NP0 ±5% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,33pF ±5% 50V,0.0066,359685,1
C107145,YAGEO-CC0805KRX7R9BB221/C107145,,base,0,2026-04-17 05:39:09,YAGEO,CC0805KRX7R9BB221,0805,Multilayer Ceramic Capacitors MLCC - SMD/SMT,220pF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,220pF ±10% 50V,0.0064,307914,1
C109227,LiteOn-LTV_817S_TA1C/C109227,,base,0,2026-04-17 05:39:09,Lite-On,LTV-817S-TA1-C,SMD-4P,"Transistor, Photovoltaic Output Optoisolators","-30℃~+110℃ 1 1.2V 100mV@1mA,20mA 35V 3us 4us@2mA,100Ω 50% 50mA 50mA 5kV 600% 6V DC Phototransistor SMD-4P Transistor, Photovoltaic Output Optoisolators ROHS",DC输入 隔离电压(rms):5000V,0.0629,284445,1
C112574,113807-X5032110592MSB2GI/C112574,,expand,0,2026-04-17 05:39:09,YXC Crystal Oscillators,X5032110592MSB2GI,SMD5032-2P,Crystals,-40℃~+85℃ 11.0592MHz 20pF Crystal Oscillator ±10ppm ±20ppm SMD5032-2P Crystals ROHS,YSX530GA 11.0592MHZ 2P 5032 20PF ±10PPM -40~85℃ (±20PPM),0.2753,11371,1
C115450,LiteOn-LTV_217_BG/C115450,,base,0,2026-04-17 05:39:09,Lite-On,LTV-217-B-G,SOP-4-175mil,"Transistor, Photovoltaic Output Optoisolators","-55℃~+110℃ 1 1.2V 200mW 2us 3.75kV 3us 400mV@8mA,2.4mA 50% 50mA 50mA 600% 6V 70V DC Phototransistor SOP-4-175mil Transistor, Photovoltaic Output Optoisolators ROHS",DC输入,0.069,608594,1
C115962,YXC_CrystalOscillators-X50328MSB2GI/C115962,,base,0,2026-04-17 05:39:09,YXC Crystal Oscillators,X50328MSB2GI,SMD5032-2P,Crystals,-40℃~+85℃ 20pF 8MHz Crystal Oscillator ±10ppm ±20ppm SMD5032-2P Crystals ROHS,YSX530GA 8MHZ 2P 5032 20PF ±10PPM -40~85℃ (±20PPM),0.211,376349,1
C11616,12170-0402WGF5103TCE/C11616,,expand,0,2026-04-17 05:39:09,UNI-ROYAL(Uniroyal Elec),0402WGF5103TCE,0402,Chip Resistor - Surface Mount,-55℃~+155℃ 50V 510kΩ 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,510kΩ ±1% 62.5mW 厚膜电阻,0.0008,515221,1
C11702,12256-0402WGF1001TCE/C11702,,base,0,2026-04-17 05:39:09,UNI-ROYAL(Uniroyal Elec),0402WGF1001TCE,0402,Chip Resistor - Surface Mount,-55℃~+155℃ 1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,1kΩ ±1% 62.5mW 厚膜电阻,0.001,16929395,1
